crawled,title,href,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,标配/标配,标配/选配,标配/-,选配,标配,标配,选配,标配,标配
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,选配,选配,-,-,选配,标配,标配/标配,标配,选配
1593741640,郑州奥迪A3 2014款 Sportback 35 TFSI 自动进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/zz/5f8e783bff1c19acx.htm,选配,选配,-,-,选配,标配,选配,-,选配/-
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1426,2629,380-1220,1340
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,标配,标配,-,-,选配,标配,标配/标配,标配,选配
1593741640,金华奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/jinhua/3943da24607adf1dx.htm,标配,选配,-,-,选配,标配,选配,-,选配/-
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,标配/标配,标配/选配,标配/-,标配,标配,标配,选配,标配,标配
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,标配,-,-,-,选配,标配,标配/标配,标配,选配
1593741666,上海奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sh/1145d9553edd9511x.htm,标配,选配,-,自动,选配,标配,选配,标配,选配/-
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,一汽-大众奥迪,紧凑型车,2.0T/190马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1435
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,2.0,涡轮增压,4缸,190,320,汽油,95号,混合喷射,国5
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,-,标配,标配
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,标配,-,-,-,标配,标配,标配/标配,标配,选配
1593741666,深圳奥迪A3 2018款 30周年年型 Sportback 40 TFSI 运动型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/sz/7f6555a6d790287cx.htm,标配,选配,-,自动,选配,标配,标配,-,选配/-
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,一汽-大众奥迪,紧凑型车,1.8T/180马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1435
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,1.8,涡轮增压,4缸,180,300,汽油,95号,直喷,国5
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,标配/标配,标配/选配,标配/-,标配,标配,标配,选配,标配,标配
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,标配,标配,-,-,选配,标配,标配/标配,标配,选配
1593741695,哈尔滨奥迪A3 2015款 Sportback 40 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/hrb/6dc40ab13f854a0ax.htm,标配,选配,-,自动,标配,标配,选配,标配,选配/-
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,标配/标配,标配/-,标配/标配,-,标配,标配,-,标配,标配
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,标配,标配,-,-,-,标配,标配/标配,标配,-
1593741695,长春奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/cc/f161859b22a6a683x.htm,标配,-,-,手动,-,标配,-,-,-/-
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4321/1785/1426,2629,380-1220,1340
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国5
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,标配,标配,-,-,标配,标配,标配/标配,标配,选配
1593741723,北京二手奥迪A3 2017款 Sportback 35 TFSI 时尚型_北京丰台二手车交易市场-瓜子二手车,https://www.guazi.com/bj/d4738c5a82971dadx.htm,标配,选配,-,-,-,标配,选配,-,选配/-
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,标配/标配,标配/选配,标配/-,标配,标配,标配,选配,标配,标配
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,标配,-,-,-,选配,标配,标配/标配,标配,选配
1593741723,苏州奥迪A3 2014款 Sportback 35 TFSI 自动舒适型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/su/9e940fb37cd5604bx.htm,标配,选配,-,自动,选配,标配,选配,标配,选配/-
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4312/1785/1426,2629,380-1220,1340
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国6
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,225/45 R17,225/45 R17
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,选配,-,-,-,标配,标配,标配/标配,标配,标配
1593741751,厦门奥迪A3 2020款 Sportback 35 TFSI 进取型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/7dc3ec5452343d90x.htm,标配,标配,-,-,选配,标配,选配,-,选配/-
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1426,2629,380-1220,1340
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,205/55 R16,205/55 R16
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,标配/标配,标配/选配,标配/标配,标配,标配,标配,选配,标配,标配
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,标配,标配,-,-,选配,标配,标配/标配,标配,选配
1593741751,青岛奥迪A3 2016款 Sportback 35 TFSI 领英型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/qd/2661a48a7aa72180x.htm,标配,选配,-,-,选配,标配,选配,-,选配/-
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,一汽-大众奥迪,紧凑型车,1.4T/150马力/L4,7挡双离合,5门5座两厢车,4319/1785/1441,2629,380-1220,1340
1593741779,厦门奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型二手车【价格 图片 报价 多少钱】_瓜子二手车,https://www.guazi.com/xm/5dfdc59daf96862bx.htm,1.4,涡轮增压,4缸,150,250,汽油,95号,直喷,国4(国5)
